gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
XRCC4,4.28,4.64,0.28,0.41,0.118,0.0026,25,0.0071
CCDC81,2.38,2.19,0.19,0.12,-0.118,3.90e-05,25,1.75e-04
SCAND1,7.27,7.89,0.28,0.57,0.118,1.56e-05,25,7.79e-05
CSN1S1,2.34,2.15,0.27,0.12,-0.118,0.0065,25,0.0157
GRK6,4.38,4.75,0.23,0.22,0.118,9.85e-07,25,6.97e-06
C1orf93,4.76,5.16,0.31,0.42,0.118,4.89e-04,25,0.0016
PLA1A,3.25,3.53,0.69,0.89,0.118,0.3152,25,0.4291
FAM105A,4.8,5.21,0.54,0.59,0.118,0.0244,25,0.0498
ZNF471,2.38,2.2,0.14,0.1,-0.118,1.47e-05,25,7.42e-05
ZCWPW2,2.36,2.17,0.38,0.19,-0.118,0.0235,25,0.0482
ZCCHC7,4.69,5.09,0.22,0.29,0.118,2.17e-05,25,1.04e-04
EPHA10,3.5,3.23,0.29,0.15,-0.118,9.06e-04,25,0.0028
SLC29A3,3.86,4.19,0.22,0.32,0.118,6.72e-05,25,2.84e-04
CAPG,6.79,7.36,0.72,0.49,0.118,0.0028,25,0.0076
NUP88,5.09,5.52,0.22,0.36,0.118,4.98e-05,25,2.18e-04
COG3,3.32,3.6,0.18,0.29,0.118,3.23e-04,25,0.0011
SPRR1B,1.98,2.15,0.15,0.37,0.118,0.0600,25,0.1086
SH3GLB1,8.33,7.67,0.23,0.48,-0.118,2.33e-06,25,1.47e-05
AFG3L2,7.17,6.61,0.63,0.54,-0.118,0.0037,25,0.0096
UGT2B10,2.63,2.43,0.26,0.16,-0.118,0.0051,25,0.0125
HLA-F,5.98,5.52,0.67,0.49,-0.118,0.0025,25,0.0067
C14orf109,7.93,7.31,0.32,0.5,-0.118,5.13e-05,25,2.23e-04
UBE2V2,7.28,7.9,0.49,0.49,0.118,4.82e-04,25,0.0016
GAS8,3.32,3.6,0.15,0.24,0.118,2.16e-04,25,7.92e-04
TARS,8.64,9.37,0.18,0.34,0.117,2.32e-10,25,5.36e-09
IPW,2.83,2.6,0.42,0.33,-0.117,0.0365,25,0.0707
RHOV,3.28,3.56,0.28,0.62,0.117,0.0560,25,0.1023
ZNF559,5.13,4.73,0.6,0.44,-0.117,0.0135,25,0.0296
ZBTB2,4.29,4.66,0.25,0.3,0.117,1.09e-04,25,4.38e-04
LIN7A,2.48,2.7,0.46,0.62,0.117,0.2327,25,0.3363
RAB5B,4.39,4.05,0.24,0.22,-0.117,9.83e-06,25,5.19e-05
GPR108,6.61,6.1,0.39,0.46,-0.117,2.34e-04,25,8.50e-04
CT45A5 /// LOC100133581,2.19,2.02,0.45,0.24,-0.117,0.1182,25,0.1925
CRISPLD1,3.22,2.97,0.97,0.82,-0.117,0.3700,25,0.4864
PRPH2,2.49,2.29,0.23,0.13,-0.117,8.14e-04,25,0.0025
FAM69B,3.46,3.19,0.27,0.17,-0.117,4.44e-04,25,0.0015
ATP5A1,9.72,8.96,0.29,0.68,-0.117,2.49e-05,25,1.18e-04
SAMD1,5.1,5.53,0.58,0.5,0.117,0.0106,25,0.0240
RASAL2,3.35,3.63,0.12,0.35,0.117,0.0010,25,0.0031
MARCO,3.48,3.21,0.89,1.21,-0.117,0.4388,25,0.5541
DOCK6,4.46,4.84,0.23,0.26,0.117,7.28e-06,25,4.00e-05
LOC728752,2.87,2.65,0.26,0.24,-0.117,0.0025,25,0.0067
TNRC18,4.71,5.11,0.18,0.32,0.117,9.20e-06,25,4.89e-05
SEMA3C,6.23,5.75,0.53,0.43,-0.117,6.47e-04,25,0.0021
TRAPPC6A,6.18,6.7,0.38,0.76,0.117,0.0074,25,0.0176
PSMA2,10.06,10.91,0.18,0.41,0.117,1.99e-09,25,3.22e-08
RAB3A,3.58,3.3,0.19,0.31,-0.117,6.38e-04,25,0.0020
SSFA2,8.54,7.87,0.45,0.29,-0.117,8.99e-07,25,6.44e-06
FHIT,4.41,4.79,0.22,0.58,0.117,0.0047,25,0.0117
IFI35,7.5,6.92,0.71,0.67,-0.117,0.0067,25,0.0161
PRRX1,4.24,4.6,0.81,1.3,0.117,0.2947,25,0.4063
SEC24A,5.3,5.75,0.38,0.42,0.117,3.56e-04,25,0.0012
HIST2H2BE,2.8,2.58,0.21,0.22,-0.117,6.57e-04,25,0.0021
GAL3ST4,4.75,4.38,0.3,0.49,-0.117,0.0091,25,0.0210
AKNAD1,2.23,2.42,0.11,0.23,0.117,0.0038,25,0.0098
PRG4,2.44,2.25,0.43,0.19,-0.117,0.0536,25,0.0986
GORASP2,6.72,7.28,0.21,0.28,0.117,1.79e-08,25,2.16e-07
LCMT2,4.69,5.09,0.29,0.4,0.117,3.29e-04,25,0.0011
SCN7A,2.37,2.18,0.23,0.14,-0.117,4.32e-04,25,0.0015
USP37,3.25,3.53,0.11,0.21,0.117,1.09e-05,25,5.70e-05
SERBP1,7.22,7.83,0.2,0.33,0.117,4.22e-08,25,4.48e-07
UAP1,8.92,8.23,0.44,0.46,-0.117,2.07e-05,25,9.98e-05
SOD2,4.85,5.25,0.17,0.64,0.117,0.0028,25,0.0074
CHMP2B,8.71,8.03,0.42,0.38,-0.116,1.28e-06,25,8.67e-06
NCRNA00201,5.16,4.76,0.84,1.26,-0.116,0.1961,25,0.2928
RORC,4.26,3.93,0.47,0.65,-0.116,0.0541,25,0.0993
SIGLEC7,2.62,2.84,0.3,0.4,0.116,0.0372,25,0.0718
HBS1L,4.45,4.83,0.24,0.3,0.116,1.39e-04,25,5.38e-04
VAMP8,10.43,9.62,0.99,0.56,-0.116,0.0039,25,0.0099
ERG,2.75,2.53,0.15,0.16,-0.116,9.18e-05,25,3.75e-04
SBNO2,3.39,3.67,0.2,0.2,0.116,1.41e-05,25,7.13e-05
MSH5,3.2,3.47,0.2,0.28,0.116,0.0025,25,0.0069
APOA1BP,7.57,8.21,0.28,0.64,0.116,1.80e-05,25,8.84e-05
PRPF40B,3.75,4.06,0.29,0.42,0.116,0.0030,25,0.0081
DCLRE1C,4.83,5.23,0.28,0.44,0.116,1.61e-04,25,6.15e-04
PRMT5,7.8,8.45,0.26,0.51,0.116,8.80e-06,25,4.70e-05
TRAK1,5.9,5.44,0.43,0.38,-0.116,3.98e-04,25,0.0014
EID1,9.37,8.65,0.92,0.65,-0.116,0.0046,25,0.0115
ASPH,4.99,5.41,0.25,0.46,0.116,0.0011,25,0.0034
USP30,6.39,5.9,0.42,0.32,-0.116,0.0019,25,0.0053
CCDC30,2.59,2.39,0.14,0.15,-0.116,2.66e-04,25,9.50e-04
SCARNA14,2.29,2.48,0.14,0.55,0.116,0.1053,25,0.1751
CCL4 /// CCL4L1 /// CCL4L2,5.15,5.58,0.76,1.59,0.116,0.1667,25,0.2564
WIPF2,6.06,5.59,0.38,0.43,-0.116,0.0016,25,0.0045
RARB,3.38,3.12,0.53,0.41,-0.116,0.1002,25,0.1678
RBPJL,2.64,2.44,0.21,0.2,-0.116,0.0015,25,0.0043
NR1I2,5.34,4.93,0.98,0.94,-0.116,0.1803,25,0.2731
NME5,3.46,3.19,1.3,1.25,-0.116,0.3438,25,0.4593
PLAA,5.27,5.71,0.28,0.42,0.116,1.75e-06,25,1.14e-05
ADAM33,3.06,2.82,0.18,0.16,-0.116,5.90e-05,25,2.53e-04
ZNF800,4.47,4.84,0.3,0.22,0.116,7.54e-05,25,3.14e-04
B3GNT1,4.9,4.52,0.52,0.39,-0.116,0.0125,25,0.0278
LEPROT,10.53,9.72,0.12,0.48,-0.116,2.82e-08,25,3.18e-07
SNRNP25,7.27,7.87,0.5,0.56,0.116,5.01e-05,25,2.19e-04
ATP13A3,7.91,8.58,0.5,0.38,0.116,1.15e-05,25,5.92e-05
RFTN2,2.71,2.5,0.22,0.23,-0.116,0.0013,25,0.0039
CSN2,3.08,3.34,0.22,0.18,0.116,4.66e-04,25,0.0016
PLCH1,5.17,5.6,0.64,0.62,0.116,0.0278,25,0.0558
FAM19A2,2.27,2.09,0.19,0.1,-0.116,4.39e-04,25,0.0015
COPB2,5.53,5.99,0.34,0.61,0.116,0.0024,25,0.0065
MYCL1,3.39,3.67,0.28,0.39,0.116,0.0055,25,0.0135
SLAIN2,7.33,6.77,0.24,0.34,-0.116,2.96e-06,25,1.82e-05
SEC14L4,2.77,3.0,0.16,0.5,0.116,0.0371,25,0.0718
ADAMTSL1,2.76,2.54,0.09,0.11,-0.116,1.01e-06,25,7.15e-06
LIME1 /// ZGPAT,6.22,6.74,0.36,0.81,0.116,0.0103,25,0.0235
SMNDC1,6.6,7.15,0.24,0.35,0.116,4.88e-06,25,2.81e-05
PPY,2.53,2.33,0.49,0.17,-0.116,0.0681,25,0.1208
MCAT,4.23,4.58,0.16,0.31,0.116,9.36e-06,25,4.96e-05
MTRF1,3.95,4.28,0.21,0.63,0.116,0.0207,25,0.0431
C2orf49,6.14,6.65,0.32,0.27,0.116,7.13e-07,25,5.29e-06
NCOA3,4.93,5.34,0.24,0.38,0.115,2.38e-04,25,8.63e-04
NFE2L1,5.59,5.16,0.26,0.37,-0.115,5.09e-05,25,2.22e-04
ITPKB,3.68,3.39,0.53,0.23,-0.115,0.0211,25,0.0439
DGKK,2.15,1.99,0.26,0.12,-0.115,0.0129,25,0.0286
BET1L,5.01,5.42,0.19,0.28,0.115,1.80e-07,25,1.60e-06
MMP2,5.61,5.18,0.73,1.22,-0.115,0.2101,25,0.3098
APOO,7.05,7.63,0.27,0.7,0.115,4.26e-04,25,0.0014
KLRG2,2.85,3.08,0.24,0.44,0.115,0.0278,25,0.0557
KARS,9.32,10.1,0.12,0.16,0.115,1.25e-14,25,2.87e-12
MED27,4.47,4.84,0.3,0.32,0.115,8.78e-05,25,3.61e-04
DEK,8.08,8.76,0.37,0.58,0.115,9.25e-05,25,3.78e-04
HSF2,3.39,3.67,0.43,0.26,0.115,0.0307,25,0.0609
ALDH1A2,2.45,2.26,0.24,0.27,-0.115,0.0178,25,0.0378
DHRS7B,6.38,5.89,0.44,0.51,-0.115,3.18e-04,25,0.0011
ZNF185,3.16,3.42,0.17,0.45,0.115,0.0123,25,0.0274
ZNF8,3.45,3.73,0.18,0.33,0.115,0.0014,25,0.0041
IL2RG,5.3,4.89,1.17,0.85,-0.115,0.2134,25,0.3135
CARD16 /// CASP1,7.97,7.36,0.61,0.81,-0.115,0.0025,25,0.0068
RPS6KL1,2.77,3.0,0.17,0.21,0.115,2.42e-04,25,8.75e-04
CD55,7.35,7.96,0.39,0.65,0.115,6.06e-04,25,0.0020
INTS6,3.84,4.16,0.13,0.26,0.115,6.93e-05,25,2.91e-04
NINJ2,3.84,4.16,0.22,0.45,0.115,0.0140,25,0.0306
PRR19,3.02,3.27,0.28,0.33,0.115,0.0110,25,0.0249
AHSA1,7.38,7.99,0.36,0.46,0.115,1.79e-06,25,1.16e-05
LOC100192204,2.54,2.75,0.14,0.2,0.115,3.52e-04,25,0.0012
SYNGR2,9.77,10.58,0.65,0.47,0.115,6.36e-05,25,2.70e-04
CCR6 /// FGFR1OP,3.85,4.16,0.44,0.59,0.115,0.0679,25,0.1204
LAMA4,4.26,3.93,0.83,0.52,-0.115,0.1321,25,0.2114
ELOVL7,5.31,5.75,0.49,0.6,0.115,0.0155,25,0.0335
DPY30,9.09,9.85,0.33,0.38,0.115,8.90e-08,25,8.60e-07
NPW,2.52,2.73,0.19,0.35,0.115,0.0314,25,0.0621
NCAPH2,4.11,4.45,0.21,0.22,0.115,1.85e-06,25,1.20e-05
XIST,3.22,2.98,1.77,1.46,-0.115,0.0135,25,0.0297
P4HA1,7.2,7.79,0.38,0.78,0.115,3.89e-04,25,0.0013
SULT4A1,2.51,2.32,0.33,0.18,-0.115,0.0230,25,0.0473
CHCHD8,9.0,9.74,0.2,0.37,0.115,6.97e-09,25,9.45e-08
MAP6D1,2.63,2.85,0.21,0.3,0.115,0.0064,25,0.0153
C2orf67,3.5,3.79,0.29,0.2,0.115,1.74e-04,25,6.57e-04
CNNM3,5.71,6.18,0.3,0.4,0.115,8.67e-05,25,3.57e-04
KIAA1598,4.65,5.04,0.4,0.38,0.115,0.0072,25,0.0172
MDN1,4.57,4.95,0.27,0.35,0.115,8.02e-04,25,0.0025
FCHO2,5.3,4.89,0.31,0.37,-0.115,3.78e-04,25,0.0013
HIP1,3.01,3.26,0.14,0.28,0.115,0.0013,25,0.0038
C3orf45,3.11,3.37,0.17,0.31,0.115,0.0027,25,0.0073
MICAL2,6.28,5.8,0.31,0.45,-0.115,1.28e-04,25,5.00e-04
SERTAD2,5.48,5.06,0.19,0.24,-0.115,2.11e-06,25,1.35e-05
SETD1A,4.04,4.37,0.25,0.35,0.115,0.0036,25,0.0093
STK32B,2.75,2.54,0.15,0.11,-0.115,2.60e-05,25,1.22e-04
TRIM16 /// TRIM16L,4.13,4.48,0.56,0.51,0.115,0.0281,25,0.0563
LOC728819,2.77,2.55,0.61,0.27,-0.115,0.1351,25,0.2154
MITD1,6.3,6.82,0.24,0.36,0.115,2.69e-06,25,1.67e-05
KILLIN,4.57,4.22,0.45,0.36,-0.115,0.0194,25,0.0409
BAIAP2L2,5.6,5.17,0.95,0.62,-0.114,0.0673,25,0.1196
NAT14,4.29,4.64,0.74,0.68,0.114,0.1417,25,0.2241
LOC100128551 /// ZDHHC14,5.86,5.41,0.39,0.54,-0.114,0.0018,25,0.0051
KLHL31,2.42,2.62,0.16,0.28,0.114,0.0079,25,0.0186
ELANE,2.46,2.27,0.22,0.18,-0.114,0.0102,25,0.0232
C4orf17,2.17,2.0,0.44,0.14,-0.114,0.0644,25,0.1153
IL12A,2.42,2.62,0.3,0.39,0.114,0.0709,25,0.1251
CLEC12A /// CLEC12B,2.66,2.46,0.3,0.25,-0.114,0.0022,25,0.0059
KIAA0430,4.74,4.38,0.18,0.18,-0.114,1.92e-07,25,1.69e-06
HMGCLL1,2.49,2.3,0.15,0.15,-0.114,1.67e-04,25,6.33e-04
PDGFC,4.44,4.11,0.62,0.7,-0.114,0.1225,25,0.1983
P2RX3,2.78,3.01,0.29,0.23,0.114,0.0107,25,0.0242
REM2,2.64,2.86,0.18,0.26,0.114,0.0044,25,0.0111
C9orf46,8.92,8.24,0.58,0.53,-0.114,4.86e-04,25,0.0016
FHDC1,6.74,7.29,0.99,0.86,0.114,0.0588,25,0.1068
SMR3A,2.31,2.13,0.39,0.14,-0.114,0.0511,25,0.0945
PML,4.06,4.39,0.22,0.47,0.114,0.0014,25,0.0040
HSPA5,7.2,7.79,0.32,0.54,0.114,2.86e-04,25,0.0010
NOL12 /// TRIOBP,5.64,5.21,0.39,0.42,-0.114,5.50e-04,25,0.0018
C21orf70 /// LOC729535,5.97,6.46,0.48,0.43,0.114,2.66e-04,25,9.52e-04
SIDT2,4.67,4.32,0.29,0.26,-0.114,4.57e-04,25,0.0015
RGS3,4.24,3.92,0.14,0.16,-0.114,2.54e-07,25,2.16e-06
RPS16,7.69,8.32,0.34,0.21,0.114,6.78e-10,25,1.30e-08
ZNF398,3.83,4.14,0.14,0.24,0.114,9.25e-06,25,4.91e-05
C1orf116,4.86,5.27,1.06,0.48,0.114,0.1180,25,0.1922
ARX,3.74,3.45,1.09,0.96,-0.114,0.4109,25,0.5272
AMH,2.76,2.98,0.16,0.27,0.114,0.0031,25,0.0081
EMG1,4.6,4.97,0.1,0.22,0.114,4.72e-08,25,4.91e-07
NFYA,3.34,3.62,0.2,0.29,0.114,1.36e-04,25,5.28e-04
PGK1,9.14,9.89,0.19,0.66,0.114,2.96e-05,25,1.38e-04
KIF5B,8.28,8.96,0.38,0.52,0.114,3.60e-05,25,1.63e-04
STAB2,2.85,2.64,0.22,0.22,-0.114,9.52e-05,25,3.87e-04
TBC1D20,5.34,4.93,0.22,0.51,-0.114,0.0025,25,0.0068
CLIP1,6.11,5.65,0.74,0.29,-0.114,0.0122,25,0.0272
SIRT4,2.77,2.56,0.5,0.24,-0.114,0.0504,25,0.0935
MAN2A1,8.51,7.87,0.68,0.81,-0.114,0.0063,25,0.0151
TMEM132C,2.96,2.73,0.33,0.37,-0.114,0.0374,25,0.0722
KIFAP3,6.85,6.33,0.44,0.44,-0.114,0.0024,25,0.0066
MINK1,5.51,5.09,0.42,0.32,-0.114,0.0016,25,0.0045
LY9,2.91,2.69,0.33,0.2,-0.114,0.0124,25,0.0275
RNF214,4.31,4.67,0.39,0.53,0.114,0.0154,25,0.0334
TAS2R7,2.38,2.58,0.23,0.24,0.114,0.0091,25,0.0210
GFM2,4.23,4.57,0.19,0.49,0.114,0.0039,25,0.0099
DYRK3,3.34,3.61,0.24,0.3,0.114,0.0026,25,0.0069
CIAO1,6.97,7.54,0.17,0.26,0.114,1.76e-10,25,4.20e-09
PURA,8.39,7.75,0.34,0.28,-0.114,2.45e-08,25,2.81e-07
INTS5,4.58,4.96,0.24,0.3,0.114,5.82e-05,25,2.50e-04
TRMT2A,3.45,3.74,0.2,0.21,0.114,7.25e-05,25,3.03e-04
ZNF311,4.21,4.55,0.28,0.64,0.114,0.0392,25,0.0752
UCN,2.42,2.61,0.21,0.25,0.114,1.97e-04,25,7.32e-04
RBM15,4.44,4.8,0.23,0.3,0.114,2.77e-05,25,1.30e-04
C3orf18,2.84,2.62,0.39,0.16,-0.114,0.0251,25,0.0509
SNTA1,3.69,3.41,0.43,0.36,-0.114,0.0281,25,0.0563
C9orf91,3.19,3.45,0.21,0.22,0.114,4.64e-04,25,0.0015
PDLIM1,9.57,8.84,0.81,0.51,-0.114,0.0020,25,0.0056
PRKAG2,6.64,6.14,0.25,0.38,-0.114,6.67e-06,25,3.70e-05
ALG1L,2.67,2.89,0.16,0.29,0.114,0.0016,25,0.0046
HIST1H2AM,2.41,2.61,0.22,0.26,0.114,0.0188,25,0.0396
FEM1A,5.13,5.55,0.33,0.36,0.114,8.52e-06,25,4.57e-05
SLC10A3,5.32,5.76,0.36,0.56,0.114,0.0125,25,0.0278
BSG,7.93,7.33,0.63,0.55,-0.114,0.0013,25,0.0038
PLGLA /// PLGLB1 /// PLGLB2,3.34,3.08,0.7,0.51,-0.114,0.1435,25,0.2263
FCGRT,6.64,6.13,0.29,0.43,-0.113,2.29e-04,25,8.34e-04
CEBPZ,8.32,9.0,0.33,0.46,0.113,5.87e-06,25,3.30e-05
PLP2,10.34,11.19,0.29,0.52,0.113,1.91e-08,25,2.28e-07
C11orf10,6.07,6.57,0.2,0.38,0.113,1.88e-06,25,1.22e-05
AEBP1,8.07,7.46,0.8,1.48,-0.113,0.1163,25,0.1900
LARP4B,4.64,5.02,0.3,0.36,0.113,5.42e-04,25,0.0018
AIDA /// LOC646890,5.31,5.74,0.76,0.62,0.113,0.0637,25,0.1143
METTL9,6.92,7.49,0.33,0.37,0.113,1.41e-06,25,9.48e-06
WBP5,8.16,7.54,0.39,1.16,-0.113,0.0247,25,0.0503
SAMD4B,4.75,5.14,0.23,0.23,0.113,2.23e-05,25,1.06e-04
MFSD10,5.73,6.19,0.32,0.52,0.113,5.50e-04,25,0.0018
NUFIP2,6.1,6.6,0.27,0.43,0.113,4.63e-05,25,2.04e-04
FAM70B,2.32,2.51,0.21,0.25,0.113,0.0079,25,0.0186
PLTP,5.46,5.9,0.79,1.27,0.113,0.1934,25,0.2895
SOX10,3.05,2.82,0.23,0.18,-0.113,9.05e-04,25,0.0028
PTPRS,3.32,3.07,0.18,0.15,-0.113,1.83e-05,25,8.96e-05
CAMK4,2.26,2.09,0.26,0.2,-0.113,0.0126,25,0.0280
INO80E,5.19,5.62,0.38,0.35,0.113,2.16e-05,25,1.04e-04
SUOX,5.07,4.69,0.33,0.42,-0.113,0.0029,25,0.0076
KAL1,4.02,4.35,0.5,0.99,0.113,0.1524,25,0.2382
GPR113,2.34,2.53,0.09,0.22,0.113,0.0010,25,0.0032
AMIGO1,3.62,3.35,0.49,0.37,-0.113,0.0261,25,0.0528
TTC9C,6.91,7.47,0.28,0.45,0.113,4.05e-06,25,2.40e-05
FAM75A1 /// FAM75A2 /// FAM75A3 /// FAM75A4 /// FAM75A5 /// FAM75A6 /// FAM75A7,2.06,2.22,0.18,0.23,0.113,0.0045,25,0.0113
STAC,2.78,2.58,0.47,0.18,-0.113,0.0556,25,0.1018
OSTC,8.97,9.71,0.26,0.38,0.113,2.87e-07,25,2.41e-06
KRT25,2.63,2.43,0.29,0.24,-0.113,0.0077,25,0.0183
PRUNE2,4.53,4.19,0.92,0.81,-0.113,0.1944,25,0.2906
HGS,4.09,4.42,0.2,0.27,0.113,2.01e-04,25,7.44e-04
NDEL1,6.05,5.6,0.33,0.41,-0.113,0.0011,25,0.0034
CHRFAM7A,2.91,2.69,0.31,0.36,-0.113,0.0137,25,0.0301
HSP90B1,9.84,10.64,0.33,0.28,0.113,5.13e-09,25,7.22e-08
CLDND1,7.69,7.11,0.73,0.39,-0.113,0.0088,25,0.0205
C21orf34,2.22,2.05,0.19,0.11,-0.113,0.0012,25,0.0035
MRPS16,6.48,7.01,0.2,0.33,0.113,4.56e-07,25,3.57e-06
GDF10,2.45,2.27,0.5,0.5,-0.113,0.1776,25,0.2697
RNF7,4.91,4.54,0.16,0.24,-0.113,8.91e-07,25,6.39e-06
CANX,8.55,9.24,0.16,0.31,0.113,5.57e-10,25,1.11e-08
PNPLA7,3.94,3.64,0.36,0.29,-0.113,0.0094,25,0.0217
OR2M3,2.34,2.53,0.14,0.21,0.113,7.53e-04,25,0.0024
STAG3L1,3.43,3.71,0.24,0.37,0.113,0.0013,25,0.0038
C2orf27A,3.33,3.6,0.21,0.27,0.113,2.42e-04,25,8.74e-04
SDC1,7.05,7.62,1.16,0.51,0.113,0.0278,25,0.0557
BTN3A1 /// BTN3A2,4.13,3.82,0.62,0.58,-0.113,0.0626,25,0.1127
ACVR2B,4.83,5.22,0.33,0.62,0.113,0.0309,25,0.0612
MYO1D,8.83,8.17,1.2,0.64,-0.113,0.0366,25,0.0708
KIF18B,2.88,3.12,0.19,0.17,0.113,3.56e-04,25,0.0012
WBP4,5.72,6.18,0.51,0.65,0.113,0.0201,25,0.0420
CBX5,5.2,5.62,0.24,0.5,0.113,0.0036,25,0.0093
ZNF16,4.52,4.89,0.41,0.53,0.113,0.0159,25,0.0342
C3orf67,2.3,2.48,0.12,0.28,0.113,9.08e-04,25,0.0028
HELB,2.45,2.65,0.21,0.28,0.113,0.0099,25,0.0226
ZNF585A /// ZNF585B,3.97,3.67,0.5,0.39,-0.113,0.0216,25,0.0449
CLUAP1,4.91,5.31,0.69,0.38,0.113,0.0202,25,0.0423
FRMD1,3.18,2.94,0.28,0.18,-0.113,0.0046,25,0.0116
INTS8,7.23,7.82,0.2,0.54,0.113,3.73e-05,25,1.69e-04
RNF2,3.51,3.8,0.19,0.2,0.112,3.33e-05,25,1.53e-04
NME1-NME2 /// NME2,11.04,11.93,0.26,0.27,0.112,1.88e-16,25,1.80e-13
GALNT8,2.5,2.7,0.33,0.89,0.112,0.3215,25,0.4356
OR13F1,2.24,2.43,0.18,0.22,0.112,0.0017,25,0.0048
TRUB1,3.36,3.63,0.09,0.15,0.112,1.78e-07,25,1.58e-06
SDHA /// SDHAP1 /// SDHAP2,7.95,7.35,0.41,0.87,-0.112,0.0033,25,0.0087
MEGF8,4.97,4.6,0.36,0.49,-0.112,0.0044,25,0.0112
CD2,4.13,3.82,0.55,0.49,-0.112,0.0522,25,0.0964
PTPRG,3.64,3.94,0.23,0.32,0.112,0.0011,25,0.0032
SLC7A7,4.67,5.05,0.51,0.9,0.112,0.1036,25,0.1728
PDS5A,5.88,6.36,0.23,0.42,0.112,6.19e-05,25,2.64e-04
CCDC38,2.29,2.12,0.23,0.16,-0.112,0.0012,25,0.0036
ZNF322A /// ZNF322B,3.44,3.72,0.18,0.49,0.112,0.0145,25,0.0316
C9orf95,6.48,6.0,0.64,0.58,-0.112,0.0012,25,0.0036
FANCC,3.21,3.47,0.15,0.19,0.112,4.23e-07,25,3.35e-06
ACTN3,2.56,2.76,0.19,0.21,0.112,0.0025,25,0.0068
GTF2IRD2,4.0,3.7,0.33,0.34,-0.112,0.0018,25,0.0052
CA11,3.01,2.78,0.7,0.29,-0.112,0.1811,25,0.2742
RAB3IL1,3.7,3.42,0.5,0.65,-0.112,0.1755,25,0.2671
FRK,4.37,4.04,0.71,0.55,-0.112,0.0605,25,0.1093
SMC3,7.58,8.19,0.38,0.28,0.112,7.88e-06,25,4.28e-05
FKBP5,4.68,4.33,0.4,0.34,-0.112,0.0029,25,0.0077
FKBPL,3.76,4.06,0.19,0.39,0.112,0.0055,25,0.0135
RBM3,6.11,6.6,0.25,0.43,0.112,2.40e-05,25,1.14e-04
TNNC1,3.52,3.8,1.1,1.36,0.112,0.2658,25,0.3741
SMYD4,6.29,5.82,0.46,0.46,-0.112,4.42e-04,25,0.0015
ZNF354C,3.08,2.85,0.29,0.33,-0.112,0.0097,25,0.0223
TACC1,6.66,6.17,0.54,0.51,-0.112,0.0084,25,0.0195
FOXK2,6.17,6.67,0.16,0.27,0.112,2.13e-08,25,2.51e-07
MED9,3.93,3.64,0.18,0.22,-0.112,6.27e-05,25,2.67e-04
NCS1,4.06,3.76,1.44,0.39,-0.112,0.3799,25,0.4961
FBXW8,3.0,3.24,0.17,0.21,0.112,2.01e-05,25,9.72e-05
SNRPG,6.58,7.11,0.23,0.22,0.112,2.15e-10,25,5.02e-09
ZNF280A,2.16,2.33,0.21,0.19,0.112,0.0029,25,0.0076
SATB2,6.3,5.83,0.98,1.1,-0.112,0.1572,25,0.2444
HIBADH,7.19,7.77,0.53,0.61,0.112,9.76e-04,25,0.0030
GZMH,4.12,3.82,0.85,0.93,-0.112,0.2312,25,0.3345
ELOVL6,6.25,5.79,1.04,0.94,-0.112,0.1153,25,0.1884
APOB,2.09,2.26,0.26,0.86,0.112,0.3664,25,0.4825
EDNRB /// SFTPB,2.36,2.55,0.19,0.26,0.112,0.0026,25,0.0071
METTL5,9.24,9.99,0.43,0.38,0.112,8.52e-07,25,6.17e-06
ATF7IP,3.61,3.91,0.17,0.34,0.112,0.0011,25,0.0033
MSL1,5.31,5.74,0.2,0.41,0.112,3.31e-04,25,0.0012
SNORA35,2.27,2.1,0.53,0.2,-0.112,0.1267,25,0.2040
TMEM59L,4.05,3.75,0.41,0.25,-0.112,0.0105,25,0.0238
SMARCAD1,5.51,5.96,0.17,0.32,0.112,8.17e-06,25,4.42e-05
PAOX,4.13,3.82,0.3,0.36,-0.112,0.0065,25,0.0157
GOLGB1,7.0,6.48,0.29,0.45,-0.112,1.91e-04,25,7.13e-04
MRPL35,6.88,6.37,0.26,0.28,-0.112,5.77e-07,25,4.39e-06
CAMP,2.88,2.66,0.3,0.19,-0.112,0.0078,25,0.0183
ZNF606,3.65,3.38,0.21,0.7,-0.112,0.0874,25,0.1493
ZNF853,4.9,4.53,1.04,0.86,-0.112,0.2154,25,0.3159
CLDN12,5.41,5.85,0.32,0.26,0.112,1.53e-05,25,7.67e-05
YIPF2,6.09,6.57,0.37,0.33,0.112,7.39e-06,25,4.05e-05
YIPF1,7.16,6.63,0.41,0.5,-0.112,2.46e-04,25,8.86e-04
PWP2,6.46,6.97,0.28,0.38,0.112,3.31e-05,25,1.52e-04
PPIB,10.14,10.96,0.35,0.4,0.112,2.45e-08,25,2.82e-07
NFATC3,5.85,6.33,0.27,0.28,0.112,3.81e-06,25,2.26e-05
ACER3,4.45,4.12,0.44,0.53,-0.112,0.0310,25,0.0614
RASGRF1,2.25,2.43,0.16,0.38,0.112,0.0477,25,0.0892
DNASE1L1,4.53,4.89,0.23,0.26,0.111,3.47e-06,25,2.09e-05
PRDM5,2.4,2.59,0.21,0.28,0.111,0.0132,25,0.0291
TCP11L2,2.97,2.75,0.39,0.36,-0.111,0.0342,25,0.0670
